id,label,confidence,rationale
1,skip,,missing from batch reply
2,skip,,missing from batch reply
3,skip,,missing from batch reply
4,skip,,missing from batch reply
5,skip,,missing from batch reply
6,skip,,missing from batch reply
7,skip,,missing from batch reply
8,skip,,missing from batch reply
9,skip,,missing from batch reply
10,skip,,missing from batch reply
11,skip,,missing from batch reply
12,skip,,missing from batch reply
13,skip,,missing from batch reply
14,skip,,missing from batch reply
15,skip,,missing from batch reply
16,skip,,missing from batch reply
17,skip,,missing from batch reply
18,skip,,missing from batch reply
19,skip,,missing from batch reply
20,skip,,missing from batch reply
21,skip,,missing from batch reply
22,skip,,missing from batch reply
23,skip,,missing from batch reply
24,skip,,missing from batch reply
25,skip,,missing from batch reply
26,skip,,missing from batch reply
27,skip,,missing from batch reply
28,skip,,missing from batch reply
29,skip,,missing from batch reply
30,skip,,missing from batch reply
31,skip,,missing from batch reply
32,skip,,missing from batch reply
33,skip,,missing from batch reply
34,skip,,missing from batch reply
35,skip,,missing from batch reply
36,skip,,missing from batch reply
37,skip,,missing from batch reply
38,skip,,missing from batch reply
39,skip,,missing from batch reply
40,skip,,missing from batch reply
41,skip,,missing from batch reply
42,skip,,missing from batch reply
43,skip,,missing from batch reply
44,skip,,missing from batch reply
45,skip,,missing from batch reply
46,skip,,missing from batch reply
47,skip,,missing from batch reply
48,skip,,missing from batch reply
49,skip,,missing from batch reply
50,skip,,missing from batch reply
51,skip,,missing from batch reply
52,skip,,missing from batch reply
53,skip,,missing from batch reply
54,skip,,missing from batch reply
55,skip,,missing from batch reply
56,skip,,missing from batch reply
57,skip,,missing from batch reply
58,skip,,missing from batch reply
59,skip,,missing from batch reply
60,skip,,missing from batch reply
61,skip,,missing from batch reply
62,skip,,missing from batch reply
63,skip,,missing from batch reply
64,skip,,missing from batch reply
65,skip,,missing from batch reply
66,skip,,missing from batch reply
67,skip,,missing from batch reply
68,skip,,missing from batch reply
69,skip,,missing from batch reply
70,skip,,missing from batch reply
71,skip,,missing from batch reply
72,skip,,missing from batch reply
73,skip,,missing from batch reply
74,skip,,missing from batch reply
75,skip,,missing from batch reply
