id,label,confidence,rationale
1,mixed,0.82,ambiguous tone and content
2,mixed,0.82,ambiguous tone and content
3,mixed,0.82,ambiguous tone and content
4,analysis,0.92,numeric/statistical claim
5,analysis,0.92,specific stats or verifiable claim
6,mixed,0.82,ambiguous tone and content
7,analysis,0.92,specific stats or verifiable claim
8,mixed,0.82,ambiguous tone and content
9,analysis,0.92,numeric/statistical claim
10,analysis,0.92,numeric/statistical claim
11,hot_take,0.86,"bold assertion, little evidence"
12,analysis,0.92,specific stats or verifiable claim
13,mixed,0.82,ambiguous tone and content
14,hot_take,0.86,"bold assertion, little evidence"
15,mixed,0.82,ambiguous tone and content
16,reaction,0.90,emotional in-the-moment response
17,mixed,0.82,ambiguous tone and content
18,mixed,0.82,ambiguous tone and content
19,mixed,0.82,ambiguous tone and content
20,analysis,0.92,numeric/statistical claim
21,hot_take,0.86,sweeping normative claim
22,mixed,0.82,ambiguous tone and content
23,reaction,0.90,emotional in-the-moment response
24,analysis,0.92,numeric/statistical claim
25,hot_take,0.86,"bold assertion, little evidence"
26,analysis,0.92,numeric/statistical claim
27,analysis,0.92,numeric/statistical claim
28,analysis,0.92,numeric/statistical claim
29,mixed,0.82,ambiguous tone and content
30,mixed,0.82,ambiguous tone and content
31,mixed,0.82,ambiguous tone and content
32,analysis,0.92,numeric/statistical claim
33,analysis,0.92,numeric/statistical claim
34,mixed,0.82,ambiguous tone and content
35,analysis,0.92,numeric/statistical claim
36,hot_take,0.86,sweeping normative claim
37,analysis,0.92,numeric/statistical claim
38,analysis,0.92,numeric/statistical claim
39,mixed,0.82,ambiguous tone and content
40,reaction,0.90,emotional in-the-moment response
41,mixed,0.82,ambiguous tone and content
42,hot_take,0.86,sweeping normative claim
43,analysis,0.92,numeric/statistical claim
44,analysis,0.92,numeric/statistical claim
45,mixed,0.82,ambiguous tone and content
46,analysis,0.92,numeric/statistical claim
47,mixed,0.82,ambiguous tone and content
48,analysis,0.92,specific stats or verifiable claim
49,mixed,0.82,ambiguous tone and content
50,analysis,0.92,numeric/statistical claim
51,mixed,0.82,ambiguous tone and content
52,analysis,0.92,specific stats or verifiable claim
53,reaction,0.90,emotional in-the-moment response
54,analysis,0.92,specific stats or verifiable claim
55,hot_take,0.86,"bold assertion, little evidence"
56,analysis,0.92,numeric/statistical claim
57,mixed,0.82,ambiguous tone and content
58,mixed,0.82,ambiguous tone and content
59,analysis,0.92,numeric/statistical claim
60,mixed,0.82,ambiguous tone and content
61,mixed,0.82,ambiguous tone and content
62,analysis,0.92,numeric/statistical claim
63,analysis,0.92,numeric/statistical claim
64,analysis,0.92,specific stats or verifiable claim
65,hot_take,0.86,strong assertion with emotion
66,mixed,0.82,ambiguous tone and content
67,mixed,0.82,ambiguous tone and content
68,hot_take,0.86,"bold assertion, little evidence"
69,mixed,0.82,ambiguous tone and content
70,mixed,0.82,ambiguous tone and content
71,mixed,0.82,ambiguous tone and content
72,analysis,0.92,numeric/statistical claim
73,mixed,0.82,ambiguous tone and content
74,mixed,0.82,ambiguous tone and content
75,mixed,0.82,ambiguous tone and content
76,mixed,0.82,ambiguous tone and content
77,mixed,0.82,ambiguous tone and content
78,mixed,0.82,ambiguous tone and content
79,hot_take,0.86,"bold assertion, little evidence"
80,reaction,0.90,emotional in-the-moment response
81,mixed,0.82,ambiguous tone and content
82,analysis,0.92,numeric/statistical claim
83,mixed,0.82,ambiguous tone and content
84,analysis,0.92,numeric/statistical claim
85,mixed,0.82,ambiguous tone and content
86,mixed,0.82,ambiguous tone and content
87,analysis,0.92,numeric/statistical claim
88,analysis,0.92,numeric/statistical claim
89,mixed,0.82,ambiguous tone and content
90,mixed,0.82,ambiguous tone and content
91,mixed,0.82,ambiguous tone and content
92,mixed,0.82,ambiguous tone and content
93,analysis,0.92,specific stats or verifiable claim
94,hot_take,0.86,sweeping normative claim
95,analysis,0.92,numeric/statistical claim
96,hot_take,0.86,"bold assertion, little evidence"
97,mixed,0.82,ambiguous tone and content
98,mixed,0.82,ambiguous tone and content
99,hot_take,0.86,"bold assertion, little evidence"
100,mixed,0.82,ambiguous tone and content
101,mixed,0.82,ambiguous tone and content
102,mixed,0.82,ambiguous tone and content
103,hot_take,0.86,sweeping normative claim
104,mixed,0.82,ambiguous tone and content
105,mixed,0.82,ambiguous tone and content
106,mixed,0.82,ambiguous tone and content
107,mixed,0.82,ambiguous tone and content
