id,label,confidence,rationale
1,skip,0.92,"Pure news report"
2,skip,0.82,"Factual incident report"
3,analysis,0.86,"Specific comparative match assessment"
4,skip,0.93,"Pure kit news"
5,analysis,0.94,"Specific xG tactical argument"
6,skip,0.94,"Pure result report"
7,analysis,0.95,"Specific metric supports conclusion"
8,skip,0.88,"Article teaser, no take"
9,skip,0.94,"Product release blurb"
10,skip,0.94,"Pure kit news"
11,mixed,0.88,"Emotion plus possession critique"
12,analysis,0.95,"Specific xG shot-quality evidence"
13,hot_take,0.92,"Absolutist opinion, no evidence"
14,hot_take,0.78,"Result-based assertion, little argument"
15,skip,0.93,"Transfer rumor roundup"
16,reaction,0.96,"Immediate emotional celebration"
17,hot_take,0.82,"Dismissive critique with vague evidence"
18,hot_take,0.93,"Provocative greatness claim, no evidence"
19,skip,0.88,"Article headline, no take"
20,mixed,0.9,"Emotion plus structural critique"
21,analysis,0.87,"Stats support concern"
22,skip,0.93,"Human-interest news report"
23,reaction,0.96,"Immediate relegation emotion"
24,skip,0.94,"Pure kit release"
25,hot_take,0.94,"Broad claim without evidence"
26,mixed,0.86,"Celebration plus academy critique"
27,mixed,0.88,"Emotion plus board critique"
28,skip,0.94,"Pure result report"
29,skip,0.94,"Pure transfer report"
30,mixed,0.9,"Excitement plus schedule argument"
31,hot_take,0.86,"Player judgment without evidence"
32,skip,0.83,"Pundit quote report"
33,analysis,0.96,"Specific tactical and PPDA evidence"
34,skip,0.94,"Product capsule news"
35,mixed,0.9,"Emotion plus revenue evidence"
36,hot_take,0.95,"Absolutist loyalty claim"
37,skip,0.89,"World Cup roundup teaser"
38,reaction,0.96,"In-the-moment stadium emotion"
39,skip,0.9,"Lifestyle news blurb"
40,reaction,0.97,"Overwhelming final qualification emotion"
41,skip,0.87,"Article headline, no argument"
42,skip,0.76,"News feature without take"
43,skip,0.92,"Statistical news report"
44,skip,0.9,"Knockout preview teaser"
45,reaction,0.92,"Immediate response to sacking"
46,skip,0.91,"Player life feature"
47,skip,0.94,"Pure incident report"
48,analysis,0.78,"Format claim with numeric context"
49,mixed,0.92,"Anger plus rules-based reasoning"
50,skip,0.93,"Schedule information report"
51,hot_take,0.93,"Provocative possession claim"
52,mixed,0.93,"Emotion plus xG regression argument"
53,reaction,0.97,"Debut goal celebration"
54,analysis,0.95,"Specific era comparison stats"
55,mixed,0.88,"Emotion plus recruitment critique"
56,skip,0.94,"Pure kit news"
57,hot_take,0.82,"Leadership claim rejects metrics"
58,skip,0.94,"Pure result report"
59,skip,0.83,"Feature premise, no take"
60,reaction,0.97,"Immediate survival celebration"
61,skip,0.86,"Brief news anecdote"
62,analysis,0.82,"Specific tournament performance framing"
63,reaction,0.84,"Emotional lament dominates"
64,analysis,0.95,"Methodological critique with reasons"
