id,text,label,notes,source
1,Which footballers have refused to celebrate a goal against another country? | The Knowledge,,,rss:guardian
2,Djed Spence appeared to not shake hands with Thomas Partey before England's match against Ghana.,,,rss:sky
3,"England showed the power of their scintillating pace in the second half against Croatia last week. Creatively, they overwhelmed their European counterparts. But the same was not possible in their second game against Ghana. This was a test of patience; one that England ultimately failed.",,,rss:sky
4,"Spain’s 2026 World Cup home kit has leaked online, featuring deep red, navy sleeves, and yellow pinstripes in a nod to tradition.",,,rss:90min
5,"Brentford's throw-in routine is genuinely a tactical weapon. They generate ~0.9 xG per game from long throws and set pieces combined, which for a mid-table side is the difference between 40 and 52 points.",,,curated
6,Cristiano Ronaldo becomes the first player to score in six World Cups as his double helps Portugal thrash Uzbekistan.,,,rss:bbc
7,Look at goalkeeper post-shot xG: the league's best shot-stoppers save about 5-7 goals above expected per season. That's roughly 4-6 points. It's a real edge but smaller than the 'world-class keeper wins you the league' narrative claims.,,,curated
8,England’s gristly Ghana draw exposes limitations of Madueke and Gordon | Barney Ronay,,,rss:guardian
9,"Topps release the Premier League 2025/26 Hobby Box with guaranteed autograph and relic cards, exclusive Black Edge inserts and Diamond Rookies.",,,rss:90min
10,"Germany’s 2026 World Cup home kit leaks, inspired by the iconic 1990 design worn when West Germany lifted the trophy.",,,rss:90min
11,Buzzing for the three points but that was smash-and-grab. We had 31% possession and one shot on target. You can't keep riding the keeper having the game of his life and call it a system.,,,curated
12,"Mexico's problem at the last World Cup wasn't talent, it was chance quality. They out-shot opponents but averaged 0.08 xG per shot — lots of low-percentage efforts from outside the box, almost no penetration of the six-yard area.",,,curated
13,"A draw is a loss. I don't want 'a hard-earned point away from home', I want three points or I want to be angry, there is no in-between.",,,curated
14,"We never win there and today proved it again, 0-4, the gap is just real and people need to stop pretending it's close.",,,curated
15,"Manchester United and Arsenal are tracking Alex Scott, while the Gunners are also in contact with Leicester City over a deal for Jeremy Monga, Aston Villa express strong interest in Jarrod Bowen, plus more.",,,rss:bbc
16,absolutely scenes in my living room right now last minute winner I have woken the baby and it was 100% worth it,,,curated
17,"Unreal goal but anyone defending that badly deserves to concede it, it's not even that impressive when you watch the markers ball-watch.",,,curated
18,"Messi's international trophies all came when the rest of the world got worse, not when he got better. Timing, not greatness.",,,curated
19,‘I’m back’: Ronaldo’s relief after double kickstarts Portugal World Cup push,,,rss:guardian
20,"Proud of the effort tonight, the lads ran themselves into the ground. Doesn't change that effort without a plan is why we're 14th — heart isn't a tactic and we've leaned on it for two years.",,,curated
21,"England's stats vs. Ghana were dominant -- more possession, more shots, more passes -- but the goals never came, raising concerns for this World Cup.",,,rss:espn
22,"Michel Nkuka Mboladinga, who gained fame during the Africa Cup of Nations for posing as a statue of Congo's assassinated independence leader Patrice Lumumba for the entirety of games, attended Congo's match against Colombia on Tuesday.",,,rss:espn
23,watching the lads do a lap of honor after relegation hit different. I was sobbing. proud of them anyway.,,,curated
24,Corinthians and Nike launch a bold Total 90 third kit with black and orange detailing for the 2025/26 season.,,,rss:90min
25,The Ballon d'Or is a popularity contest and always has been. It tells you nothing about who actually played best.,,,curated
26,Unreal atmosphere and a deserved win — and yet the bigger story is the academy kid who came on and changed the game. We've spent 200m and our best moment came from a free homegrown 19-year-old. Says a lot.,,,curated
27,"So proud of the away end tonight, sang for 90 minutes through a 3-0 loss. The fans showed up; the board hasn't in a decade. That contrast is the whole story of this club right now.",,,curated
28,Daniel Munoz's deflected strike is enough for Colombia to beat DR Congo and secure their place in the 2026 World Cup knockout stage.,,,rss:bbc
29,"Sweden forward Felicia Schröder has signed with Real Madrid after a major transfer from B.K. Häcken, the two clubs announced on Tuesday.",,,rss:espn
30,"I'm buzzing but also nervous, weird mix. Beating the leaders feels huge, except we've now got six games against the bottom half and that's where we've dropped most of our points all year. This means nothing if we slip up there.",,,curated
31,"He glides past three players then passes it backwards. Most frustrating talented player I've ever watched, all the ability and none of the end product.",,,curated
32,"Paul Merson says England's 0-0 draw with Ghana was ""back to reality"" for the Three Lions but the Sky Sports pundit insists we need to have trust in Thomas Tuchel to get it right.",,,rss:sky
33,"City changed their build-up this season: Rodri drops between the centre-backs, both fullbacks invert into midfield, and their PPDA dropped from 11.2 to 8.7. That's why they're winning the ball 10 yards higher than last year.",,,curated
34,"Kappa and Cruel Pancake drop a retro-inspired Maestro of the Game capsule, available for one day only in Paris.",,,rss:90min
35,Love this club but the ownership has to go. The atmosphere tonight was electric and it papered over the fact we haven't signed a striker in three windows while revenue went up 40%.,,,curated
36,"Loyalty in football is dead and any player who kisses the badge then leaves in the summer should be booed for life, no exceptions.",,,curated
37,"All 48 teams in the World Cup have played exactly two games, so we look at the players and nations who were winners and losers.",,,rss:espn
38,GOOSEBUMPS. the whole stadium singing after the equalizer in the 90th. nights like this are why I love this sport.,,,curated
39,"Jamie Vardy is settling into life in Italy with Cremonese, learning the language – and picking up some colourful swear words along the way.",,,rss:90min
40,MY TEAM IS IN A FINAL. I have supported them for 22 years and we are in a FINAL. I'm shaking typing this.,,,curated
41,Fifa leadership ‘overruled US-based staff’ opposing World Cup dynamic pricing,,,rss:guardian
42,"Lionel Messi must have gotten used to super-sized tributes to his greatness, yet fans keep finding grander ways to recognize his achievements.",,,rss:espn
43,"Lionel Messi celebrates his 39th birthday on Wednesday having made an astonishing start to the World Cup. After the hat-trick against Algeria that took him level with Miroslav Klose's goal record, he scored twice against Austria to go two clear.",,,rss:sky
44,"As the World Cup group stage draws to a close, it's time to start looking ahead to the knockout rounds and potential routes to the final in July 19.",,,rss:sky
45,the manager got sacked an hour after the final whistle and honestly I cheered. enough was enough. fresh start please.,,,curated
46,"What is it like to be one of the 1,200 players at this World Cup? Curacao forward Gervane Kastaneer reveals what life is really like during soccer's biggest tournament.",,,rss:espn
47,England midfielder Jude Bellingham was not shown a red card despite covering his mouth while talking to Ghana's Jordan Ayew.,,,rss:bbc
48,With 32 of 48 teams advancing to the knockout rounds of the World Cup it is more difficult to be eliminated than to qualify.,,,rss:bbc
49,"Furious at the red card but rewatching it, it was the right call — stupid challenge, studs up, he left him no choice. We can be angry and wrong at the same time and tonight we were both.",,,curated
50,"We are now down to the final round of group stage matches at the 2026 FIFA World Cup, where all teams from the same group will be playing at the same time.",,,rss:espn
51,"Possession stats are a scam invented to make boring teams feel clever. Nobody remembers who had the ball, they remember who scored.",,,curated
52,"I cried at the final whistle, no shame. Still, the truth is we got promoted on set pieces and a hot finishing run that the xG says regresses next season. Enjoy tonight, worry tomorrow.",,,curated
53,"MY GUY SCORED ON HIS DEBUT. eighteen years old, came on in the 80th, smashed it top corner. I'm so proud I could cry.",,,curated
54,"Comparing eras: prime Henry averaged a goal involvement every 96 minutes in the league; prime Haaland is at one every 78. Different leagues and service, but the raw output gap is real and worth stating before we crown anyone.",,,curated
55,"Devastated, but this is on recruitment, not the players. You can't sell your two best midfielders and replace them with loanees and expect to compete. The fans in the ground deserved better planning.",,,curated
56,"Bayern Munich’s leaked retro shirt channels their crest and iconic stadium, adding to an already packed 2025/26 kit line-up.",,,rss:90min
57,"That's why he's captain. Down a goal, grabs it, drives us up the pitch, scores. Leaders do that and the numbers don't capture it.",,,curated
58,Amine Gouiri pounces to give Algeria victory and condemn Jordan to early World Cup exit,,,rss:guardian
59,"At Qatar 2022, there was a divide between Mexico and the country they represented. That's all changed at this World Cup on home soil.",,,rss:espn
60,"my heart is still pounding. last kick of the game, free kick, top bins, we stay up. I think I need a doctor.",,,curated
61,Pep Guardiola’s day ended badly but he enjoyed a tender moment with fourth official Craig Pawson.,,,rss:90min
62,England's difficult second game afflicted them for a fourth successive tournament as Ghana frustrated Thomas Tuchel's side to a 0-0 draw in Boston to leave their hopes of topping Group L in the balance.,,,rss:sky
63,"Best atmosphere I've ever been part of and we still lost 2-1, kind of says everything about this club, brilliant fans propping up a broken team.",,,curated
64,Saudi Pro League xG models are basically useless right now — the sample is tiny and the defensive quality variance is enormous. Anyone quoting xGD tables from that league with a straight face doesn't understand the error bars.,,,curated
65,I can't even type properly my hands are still shaking from that penalty save. GET INNNNN.,,,curated
66,"If your club's whole identity is 'we develop young players and sell them', you're not a football club, you're a finishing school with a stadium.",,,curated
67,England manager Thomas Tuchel defends Jude Bellingham after the midfielder is involved in a heated row with Ghana boss Carlos Queiroz.,,,rss:bbc
68,"Real Madrid don't win, they get gifted things by refs and 'mentality'. It's the most overrated dynasty in sports.",,,curated
69,"Manager out. Bored of the excuses, bored of the 'project', three years and we're worse than when he started, the data and the eye test agree for once.",,,curated
70,Massive win and I'm thrilled — but be careful crowning us. We've beaten the bottom three back to back; the underlying numbers against top-half sides are still ugly and that's the real test.,,,curated
71,"Transfer latest: Spurs push for Fernandes and Tonali, Chelsea like Palestra",,,rss:guardian
72,"94th minute equaliser and I have lost my entire mind, the dog is hiding, the neighbors are concerned, I regret nothing.",,,curated
73,OGC Nice mascot eagle Mefi and her trainer were hilariously drenched by a rogue sprinkler during a pre-match show before facing Roma.,,,rss:90min
74,"England fans have been left frustrated by the goalless draw against Ghana, but were Thomas Tuchel's side fortunate not to have given away a penalty?",,,rss:bbc
75,Neymar wasted the most talent of any player in history. Pure laziness. He could've been top three all time.,,,curated
76,Budimir rescues Croatia with winner against Panama on Modric’s landmark day,,,rss:guardian
77,"Atlético Madrid are upset with Julián Álvarez's revelation that he wants to leave the club this summer and with Barcelona for pushing the Argentina forward to make a public transfer request, Atleti CEO Miguel Gil Marin said on Tuesday.",,,rss:espn
78,I cannot believe we let them score four. four! at home! the boos at full time said it all. embarrassing night.,,,curated
79,Mbappe will never win a Ballon d'Or at Madrid. He's a flat-track bully who disappears in the games that actually matter.,,,curated
80,Footage circulating on social media appears to show England's Djed Spence not shaking hands with Ghana's Thomas Partey before their World Cup group match in Boston.,,,rss:bbc
81,"Former Manchester United defender Phil Jones graduates from the PFA Business School alongside Tim Krul, Danny Simpson and Ilkay Gündogan among others.",,,rss:90min
82,"Thrilled we won, gutted at how. A 30-yard screamer bailed out a flat performance and the manager will use it to justify a setup that isn't working. Wins like this hide problems instead of fixing them.",,,curated
83,Colombia vs DR Congo: All the big moments and rate the players,,,rss:sky
84,Women’s transfer window summer 2026: all deals from world’s top six leagues,,,rss:guardian
85,We examine major incidents and explain the process in terms of VAR protocol and the laws of the game.,,,rss:espn
86,I muted the stream after the third goal went in. couldn't take the commentary gloating. dark night to be a fan.,,,curated
87,5-4 after extra time. FIVE-FOUR. I don't know what just happened but I feel like I ran a marathon.,,,curated
88,Cape Verde and then Scotland? England's possible routes to 2026 World Cup final,,,rss:sky
89,Streaming has ruined match-going culture and the atmospheres prove it. Half the ground is filming on their phones instead of singing.,,,curated
90,Lazio Women have been ordered to pay compensation to former midfielder Maja Gothberg because they unlawfully ended her employment due to pregnancy.,,,rss:bbc
91,Daniel Muñoz breaks DR Congo resistance to send Colombia into World Cup knockouts,,,rss:guardian
92,"With their spot already guaranteed into the knockout rounds, Mexico players were in full support of a possible historic start for goalkeeping icon Guillermo Ochoa against Czechia in their World Cup group stage finale on Wednesday.",,,rss:espn
93,"People say Madrid 'got lucky' in the Champions League but they were +6 in xG across the two legs against City. You don't generate that margin over 180 minutes by accident — the low block plus Vinicius in transition is a real, repeatable plan.",,,curated
94,Ronaldo is the GOAT and it's not close. Messi never did it in a real league or for his country until everything was handed to him.,,,curated
95,Daniel Munoz's second-half strike was enough to see a dominant Colombia beat DR Congo 1-0 as the South Americans secured their place in the World Cup last 32.,,,rss:sky
96,Spending big on a goalkeeper is always a waste. You could play a championship keeper behind a good defense and never notice.,,,curated
97,The board put out a statement about 'the project' the same week we went out of two cups. Read the room. Nobody believes the PowerPoint anymore.,,,curated
98,"Scotland don't know what they need against Brazil to reach the World Cup knockout phase, but will know they need to improve on the previous two games, writes Tom English.",,,rss:bbc
99,"Hot take: the 2010s Barcelona team would get bullied by any modern Premier League midtable side. The game has moved on, they'd get pressed off the park.",,,curated
100,"Saka is carried by the system. Put him at a bottom-half club and he's a 7-goal winger, nothing special.",,,curated
101,Use BBC Sport's predictor tool with in-game updates to plot your country's route through the World Cup knockouts.,,,rss:bbc
102,"Kristie Mewis shares the sweet nickname she and Sam Kerr have for their baby boy, Jagger, as the couple continues to inspire with their relationship.",,,rss:90min
103,Queiroz jokes 'VAR went for a coffee' - should Ghana have had a penalty?,,,rss:sky
104,Borussia Dortmund promise to address criticism after their new away kit debuted in a win over Heidenheim.,,,rss:90min
105,Lazio Women to pay compensation after landmark Cas pregnancy discrimination ruling,,,rss:guardian
106,"Andy Robertson and his Scotland teammates have watched their fans march through the streets of Miami and Boston, celebrating baseball games with beers and bagpipes as if they were attending a soccer match.",,,rss:espn
107,The pursuit of Sandro Tonali by Tottenham - who narrowly avoided relegation last season - shows the challenge Newcastle face.,,,rss:bbc
108,Honestly the women's game is growing faster than the men's and in ten years the gap in entertainment will be gone. Screenshot this.,,,curated
109,Penalty shootouts are a coin flip and deciding a World Cup on them is a joke. Replay the match or share the trophy.,,,curated
110,"Cristiano Ronaldo made history Tuesday by becoming the first player to score in six different World Cups, finding the net in Portugal's 5-0 win over Uzbekistan.",,,rss:espn
111,"BRO WE ACTUALLY DID IT. ten men, down a goal, and we won in stoppage time. football is the greatest thing ever made.",,,curated
112,"Half these 'generational talents' would be average in the 90s when defenders were allowed to actually defend. Soft era, protected forwards.",,,curated
113,"What a winner, I lost my mind — but if we're honest the manager got bailed out again. We were second best for 70 minutes and the substitution that 'changed the game' was forced by an injury, not a plan.",,,curated
114,Ghana boss Carlos Queiroz joked that the video assistant referee must have gone for a coffee after saying England escaped a penalty and red card in Tuesday's goalless World Cup stalemate.,,,rss:espn
115,He's washed and the stats back me up: one goal in his last nine. Cope.,,,curated
116,Haaland doubles up again as Norway defeat Senegal and seal spot in World Cup last 32,,,rss:guardian
117,"Their full-back overlaps 12 times a game but only completes 2 crosses into the box. That's not width, that's running into a dead end — opponents have figured out to show him the byline and crowd the cutback.",,,curated
118,The MLS is a retirement league and pretending otherwise is delusional. The standard is barely Championship level.,,,curated
119,"Love the fight tonight, genuinely. But 'fighting spirit' is what you praise when the football isn't good enough, and ours hasn't been for two months. The effort masked a real lack of ideas in the final third.",,,curated
120,"VAR overturned 3 of their last 5 conceded penalties, but the underlying issue is the defensive midfielder stepping out and leaving the channel. Even when the calls go their way the structural hole is the same.",,,curated
121,"England’s 2026 World Cup kits have leaked online, featuring a classic white home shirt with jacquard detailing and a bold red away design.",,,rss:90min
122,"Great win, terrible sign. We were carved open at will and only survived because they missed three sitters. Celebrate the points, but the defensive line being that high with our slow CBs is asking to get punished by a better side.",,,curated
123,"USMNT coach Mauricio Pochettino admitted he felt 'naïve' about the program's complacency when he took over in 2024, but his efforts to transform the team have paid off with a dominant start to the 2026 World Cup.",,,rss:espn
