id,label,confidence,rationale
1,skip,,one-shot batch (gemma-4-31B-it)
2,skip,,one-shot batch (gemma-4-31B-it)
3,analysis,,one-shot batch (gemma-4-31B-it)
4,skip,,one-shot batch (gemma-4-31B-it)
5,analysis,,one-shot batch (gemma-4-31B-it)
6,skip,,one-shot batch (gemma-4-31B-it)
7,analysis,,one-shot batch (gemma-4-31B-it)
8,skip,,one-shot batch (gemma-4-31B-it)
9,skip,,one-shot batch (gemma-4-31B-it)
10,skip,,one-shot batch (gemma-4-31B-it)
11,mixed,,one-shot batch (gemma-4-31B-it)
12,analysis,,one-shot batch (gemma-4-31B-it)
13,reaction,,one-shot batch (gemma-4-31B-it)
14,reaction,,one-shot batch (gemma-4-31B-it)
15,skip,,one-shot batch (gemma-4-31B-it)
16,reaction,,one-shot batch (gemma-4-31B-it)
17,mixed,,one-shot batch (gemma-4-31B-it)
18,hot_take,,one-shot batch (gemma-4-31B-it)
19,skip,,one-shot batch (gemma-4-31B-it)
20,mixed,,one-shot batch (gemma-4-31B-it)
21,analysis,,one-shot batch (gemma-4-31B-it)
22,skip,,one-shot batch (gemma-4-31B-it)
23,reaction,,one-shot batch (gemma-4-31B-it)
24,skip,,one-shot batch (gemma-4-31B-it)
25,hot_take,,one-shot batch (gemma-4-31B-it)
26,mixed,,one-shot batch (gemma-4-31B-it)
27,mixed,,one-shot batch (gemma-4-31B-it)
28,skip,,one-shot batch (gemma-4-31B-it)
29,skip,,one-shot batch (gemma-4-31B-it)
30,mixed,,one-shot batch (gemma-4-31B-it)
31,reaction,,one-shot batch (gemma-4-31B-it)
32,skip,,one-shot batch (gemma-4-31B-it)
33,analysis,,one-shot batch (gemma-4-31B-it)
34,skip,,one-shot batch (gemma-4-31B-it)
35,mixed,,one-shot batch (gemma-4-31B-it)
36,hot_take,,one-shot batch (gemma-4-31B-it)
37,skip,,one-shot batch (gemma-4-31B-it)
38,reaction,,one-shot batch (gemma-4-31B-it)
39,skip,,one-shot batch (gemma-4-31B-it)
40,reaction,,one-shot batch (gemma-4-31B-it)
41,skip,,one-shot batch (gemma-4-31B-it)
42,skip,,one-shot batch (gemma-4-31B-it)
43,skip,,one-shot batch (gemma-4-31B-it)
44,skip,,one-shot batch (gemma-4-31B-it)
45,reaction,,one-shot batch (gemma-4-31B-it)
46,skip,,one-shot batch (gemma-4-31B-it)
47,skip,,one-shot batch (gemma-4-31B-it)
48,skip,,one-shot batch (gemma-4-31B-it)
49,mixed,,one-shot batch (gemma-4-31B-it)
50,skip,,one-shot batch (gemma-4-31B-it)
51,hot_take,,one-shot batch (gemma-4-31B-it)
52,mixed,,one-shot batch (gemma-4-31B-it)
53,reaction,,one-shot batch (gemma-4-31B-it)
54,analysis,,one-shot batch (gemma-4-31B-it)
55,mixed,,one-shot batch (gemma-4-31B-it)
56,skip,,one-shot batch (gemma-4-31B-it)
57,reaction,,one-shot batch (gemma-4-31B-it)
58,skip,,one-shot batch (gemma-4-31B-it)
59,skip,,one-shot batch (gemma-4-31B-it)
60,reaction,,one-shot batch (gemma-4-31B-it)
61,skip,,one-shot batch (gemma-4-31B-it)
62,skip,,one-shot batch (gemma-4-31B-it)
63,mixed,,one-shot batch (gemma-4-31B-it)
64,analysis,,one-shot batch (gemma-4-31B-it)
65,reaction,,one-shot batch (gemma-4-31B-it)
66,hot_take,,one-shot batch (gemma-4-31B-it)
67,skip,,one-shot batch (gemma-4-31B-it)
68,hot_take,,one-shot batch (gemma-4-31B-it)
69,mixed,,one-shot batch (gemma-4-31B-it)
70,mixed,,one-shot batch (gemma-4-31B-it)
71,skip,,one-shot batch (gemma-4-31B-it)
72,reaction,,one-shot batch (gemma-4-31B-it)
73,skip,,one-shot batch (gemma-4-31B-it)
74,skip,,one-shot batch (gemma-4-31B-it)
75,hot_take,,one-shot batch (gemma-4-31B-it)
76,skip,,one-shot batch (gemma-4-31B-it)
77,skip,,one-shot batch (gemma-4-31B-it)
78,reaction,,one-shot batch (gemma-4-31B-it)
79,hot_take,,one-shot batch (gemma-4-31B-it)
80,skip,,one-shot batch (gemma-4-31B-it)
81,skip,,one-shot batch (gemma-4-31B-it)
82,mixed,,one-shot batch (gemma-4-31B-it)
83,skip,,one-shot batch (gemma-4-31B-it)
84,skip,,one-shot batch (gemma-4-31B-it)
85,skip,,one-shot batch (gemma-4-31B-it)
86,reaction,,one-shot batch (gemma-4-31B-it)
87,reaction,,one-shot batch (gemma-4-31B-it)
88,skip,,one-shot batch (gemma-4-31B-it)
89,hot_take,,one-shot batch (gemma-4-31B-it)
90,skip,,one-shot batch (gemma-4-31B-it)
91,skip,,one-shot batch (gemma-4-31B-it)
92,skip,,one-shot batch (gemma-4-31B-it)
93,analysis,,one-shot batch (gemma-4-31B-it)
94,hot_take,,one-shot batch (gemma-4-31B-it)
95,skip,,one-shot batch (gemma-4-31B-it)
96,hot_take,,one-shot batch (gemma-4-31B-it)
97,reaction,,one-shot batch (gemma-4-31B-it)
98,skip,,one-shot batch (gemma-4-31B-it)
99,hot_take,,one-shot batch (gemma-4-31B-it)
100,hot_take,,one-shot batch (gemma-4-31B-it)
101,skip,,one-shot batch (gemma-4-31B-it)
102,skip,,one-shot batch (gemma-4-31B-it)
103,skip,,one-shot batch (gemma-4-31B-it)
104,skip,,one-shot batch (gemma-4-31B-it)
105,skip,,one-shot batch (gemma-4-31B-it)
106,skip,,one-shot batch (gemma-4-31B-it)
107,skip,,one-shot batch (gemma-4-31B-it)
108,hot_take,,one-shot batch (gemma-4-31B-it)
109,hot_take,,one-shot batch (gemma-4-31B-it)
110,skip,,one-shot batch (gemma-4-31B-it)
111,reaction,,one-shot batch (gemma-4-31B-it)
112,hot_take,,one-shot batch (gemma-4-31B-it)
113,mixed,,one-shot batch (gemma-4-31B-it)
114,skip,,one-shot batch (gemma-4-31B-it)
115,hot_take,,one-shot batch (gemma-4-31B-it)
116,skip,,one-shot batch (gemma-4-31B-it)
117,analysis,,one-shot batch (gemma-4-31B-it)
118,hot_take,,one-shot batch (gemma-4-31B-it)
119,mixed,,one-shot batch (gemma-4-31B-it)
120,analysis,,one-shot batch (gemma-4-31B-it)
121,skip,,one-shot batch (gemma-4-31B-it)
122,mixed,,one-shot batch (gemma-4-31B-it)
123,skip,,one-shot batch (gemma-4-31B-it)
124,analysis,,one-shot batch (gemma-4-31B-it)
125,hot_take,,one-shot batch (gemma-4-31B-it)
126,hot_take,,one-shot batch (gemma-4-31B-it)
127,analysis,,one-shot batch (gemma-4-31B-it)
128,reaction,,one-shot batch (gemma-4-31B-it)
129,analysis,,one-shot batch (gemma-4-31B-it)
130,analysis,,one-shot batch (gemma-4-31B-it)
131,skip,,one-shot batch (gemma-4-31B-it)
132,analysis,,one-shot batch (gemma-4-31B-it)
133,hot_take,,one-shot batch (gemma-4-31B-it)
134,reaction,,one-shot batch (gemma-4-31B-it)
135,skip,,one-shot batch (gemma-4-31B-it)
136,skip,,one-shot batch (gemma-4-31B-it)
137,reaction,,one-shot batch (gemma-4-31B-it)
138,analysis,,one-shot batch (gemma-4-31B-it)
139,reaction,,one-shot batch (gemma-4-31B-it)
140,skip,,one-shot batch (gemma-4-31B-it)
141,skip,,one-shot batch (gemma-4-31B-it)
142,skip,,one-shot batch (gemma-4-31B-it)
143,skip,,one-shot batch (gemma-4-31B-it)
144,mixed,,one-shot batch (gemma-4-31B-it)
145,skip,,one-shot batch (gemma-4-31B-it)
146,analysis,,one-shot batch (gemma-4-31B-it)
147,skip,,one-shot batch (gemma-4-31B-it)
148,skip,,one-shot batch (gemma-4-31B-it)
149,skip,,one-shot batch (gemma-4-31B-it)
150,skip,,one-shot batch (gemma-4-31B-it)
151,hot_take,,one-shot batch (gemma-4-31B-it)
152,analysis,,one-shot batch (gemma-4-31B-it)
153,hot_take,,one-shot batch (gemma-4-31B-it)
154,skip,,one-shot batch (gemma-4-31B-it)
155,analysis,,one-shot batch (gemma-4-31B-it)
156,hot_take,,one-shot batch (gemma-4-31B-it)
157,skip,,one-shot batch (gemma-4-31B-it)
158,skip,,one-shot batch (gemma-4-31B-it)
159,hot_take,,one-shot batch (gemma-4-31B-it)
160,analysis,,one-shot batch (gemma-4-31B-it)
161,skip,,one-shot batch (gemma-4-31B-it)
162,skip,,one-shot batch (gemma-4-31B-it)
163,hot_take,,one-shot batch (gemma-4-31B-it)
164,skip,,one-shot batch (gemma-4-31B-it)
165,analysis,,one-shot batch (gemma-4-31B-it)
166,analysis,,one-shot batch (gemma-4-31B-it)
167,skip,,one-shot batch (gemma-4-31B-it)
168,skip,,one-shot batch (gemma-4-31B-it)
169,mixed,,one-shot batch (gemma-4-31B-it)
170,analysis,,one-shot batch (gemma-4-31B-it)
171,analysis,,one-shot batch (gemma-4-31B-it)
172,skip,,one-shot batch (gemma-4-31B-it)
173,hot_take,,one-shot batch (gemma-4-31B-it)
174,reaction,,one-shot batch (gemma-4-31B-it)
175,skip,,one-shot batch (gemma-4-31B-it)
176,skip,,one-shot batch (gemma-4-31B-it)
177,skip,,one-shot batch (gemma-4-31B-it)
178,reaction,,one-shot batch (gemma-4-31B-it)
179,hot_take,,one-shot batch (gemma-4-31B-it)
180,reaction,,one-shot batch (gemma-4-31B-it)
181,analysis,,one-shot batch (gemma-4-31B-it)
182,hot_take,,one-shot batch (gemma-4-31B-it)
183,reaction,,one-shot batch (gemma-4-31B-it)
184,mixed,,one-shot batch (gemma-4-31B-it)
185,skip,,one-shot batch (gemma-4-31B-it)
186,skip,,one-shot batch (gemma-4-31B-it)
187,analysis,,one-shot batch (gemma-4-31B-it)
188,hot_take,,one-shot batch (gemma-4-31B-it)
189,skip,,one-shot batch (gemma-4-31B-it)
190,skip,,one-shot batch (gemma-4-31B-it)
191,reaction,,one-shot batch (gemma-4-31B-it)
192,skip,,one-shot batch (gemma-4-31B-it)
193,reaction,,one-shot batch (gemma-4-31B-it)
194,hot_take,,one-shot batch (gemma-4-31B-it)
195,mixed,,one-shot batch (gemma-4-31B-it)
196,mixed,,one-shot batch (gemma-4-31B-it)
197,mixed,,one-shot batch (gemma-4-31B-it)
198,mixed,,one-shot batch (gemma-4-31B-it)
199,reaction,,one-shot batch (gemma-4-31B-it)
200,analysis,,one-shot batch (gemma-4-31B-it)
