id,label,confidence,rationale
1,skip,,one-shot batch (gpt-oss-120b)
2,skip,,one-shot batch (gpt-oss-120b)
3,hot_take,,one-shot batch (gpt-oss-120b)
4,skip,,one-shot batch (gpt-oss-120b)
5,analysis,,one-shot batch (gpt-oss-120b)
6,skip,,one-shot batch (gpt-oss-120b)
7,analysis,,one-shot batch (gpt-oss-120b)
8,skip,,one-shot batch (gpt-oss-120b)
9,skip,,one-shot batch (gpt-oss-120b)
10,skip,,one-shot batch (gpt-oss-120b)
11,mixed,,one-shot batch (gpt-oss-120b)
12,analysis,,one-shot batch (gpt-oss-120b)
13,hot_take,,one-shot batch (gpt-oss-120b)
14,hot_take,,one-shot batch (gpt-oss-120b)
15,skip,,one-shot batch (gpt-oss-120b)
16,reaction,,one-shot batch (gpt-oss-120b)
17,hot_take,,one-shot batch (gpt-oss-120b)
18,hot_take,,one-shot batch (gpt-oss-120b)
19,skip,,one-shot batch (gpt-oss-120b)
20,mixed,,one-shot batch (gpt-oss-120b)
21,analysis,,one-shot batch (gpt-oss-120b)
22,skip,,one-shot batch (gpt-oss-120b)
23,reaction,,one-shot batch (gpt-oss-120b)
24,skip,,one-shot batch (gpt-oss-120b)
25,hot_take,,one-shot batch (gpt-oss-120b)
26,mixed,,one-shot batch (gpt-oss-120b)
27,mixed,,one-shot batch (gpt-oss-120b)
28,skip,,one-shot batch (gpt-oss-120b)
29,skip,,one-shot batch (gpt-oss-120b)
30,mixed,,one-shot batch (gpt-oss-120b)
31,reaction,,one-shot batch (gpt-oss-120b)
32,skip,,one-shot batch (gpt-oss-120b)
33,analysis,,one-shot batch (gpt-oss-120b)
34,skip,,one-shot batch (gpt-oss-120b)
35,mixed,,one-shot batch (gpt-oss-120b)
36,hot_take,,one-shot batch (gpt-oss-120b)
37,analysis,,one-shot batch (gpt-oss-120b)
38,reaction,,one-shot batch (gpt-oss-120b)
39,skip,,one-shot batch (gpt-oss-120b)
40,reaction,,one-shot batch (gpt-oss-120b)
41,skip,,one-shot batch (gpt-oss-120b)
42,hot_take,,one-shot batch (gpt-oss-120b)
43,skip,,one-shot batch (gpt-oss-120b)
44,analysis,,one-shot batch (gpt-oss-120b)
45,reaction,,one-shot batch (gpt-oss-120b)
46,skip,,one-shot batch (gpt-oss-120b)
47,skip,,one-shot batch (gpt-oss-120b)
48,analysis,,one-shot batch (gpt-oss-120b)
49,mixed,,one-shot batch (gpt-oss-120b)
50,skip,,one-shot batch (gpt-oss-120b)
51,hot_take,,one-shot batch (gpt-oss-120b)
52,mixed,,one-shot batch (gpt-oss-120b)
53,reaction,,one-shot batch (gpt-oss-120b)
54,analysis,,one-shot batch (gpt-oss-120b)
55,mixed,,one-shot batch (gpt-oss-120b)
56,skip,,one-shot batch (gpt-oss-120b)
57,hot_take,,one-shot batch (gpt-oss-120b)
58,skip,,one-shot batch (gpt-oss-120b)
