id,label,confidence,rationale
1,skip,,one-shot batch (gemini-2.5-flash)
2,skip,,one-shot batch (gemini-2.5-flash)
3,analysis,,one-shot batch (gemini-2.5-flash)
4,skip,,one-shot batch (gemini-2.5-flash)
5,analysis,,one-shot batch (gemini-2.5-flash)
6,skip,,one-shot batch (gemini-2.5-flash)
7,analysis,,one-shot batch (gemini-2.5-flash)
8,skip,,one-shot batch (gemini-2.5-flash)
9,skip,,one-shot batch (gemini-2.5-flash)
10,skip,,one-shot batch (gemini-2.5-flash)
11,mixed,,one-shot batch (gemini-2.5-flash)
12,analysis,,one-shot batch (gemini-2.5-flash)
13,hot_take,,one-shot batch (gemini-2.5-flash)
14,reaction,,one-shot batch (gemini-2.5-flash)
15,skip,,one-shot batch (gemini-2.5-flash)
16,reaction,,one-shot batch (gemini-2.5-flash)
17,hot_take,,one-shot batch (gemini-2.5-flash)
18,hot_take,,one-shot batch (gemini-2.5-flash)
19,skip,,one-shot batch (gemini-2.5-flash)
20,mixed,,one-shot batch (gemini-2.5-flash)
21,analysis,,one-shot batch (gemini-2.5-flash)
22,skip,,one-shot batch (gemini-2.5-flash)
23,reaction,,one-shot batch (gemini-2.5-flash)
24,skip,,one-shot batch (gemini-2.5-flash)
25,hot_take,,one-shot batch (gemini-2.5-flash)
26,mixed,,one-shot batch (gemini-2.5-flash)
27,mixed,,one-shot batch (gemini-2.5-flash)
28,skip,,one-shot batch (gemini-2.5-flash)
29,skip,,one-shot batch (gemini-2.5-flash)
30,mixed,,one-shot batch (gemini-2.5-flash)
31,hot_take,,one-shot batch (gemini-2.5-flash)
32,skip,,one-shot batch (gemini-2.5-flash)
33,analysis,,one-shot batch (gemini-2.5-flash)
34,skip,,one-shot batch (gemini-2.5-flash)
35,mixed,,one-shot batch (gemini-2.5-flash)
36,hot_take,,one-shot batch (gemini-2.5-flash)
37,skip,,one-shot batch (gemini-2.5-flash)
38,reaction,,one-shot batch (gemini-2.5-flash)
39,skip,,one-shot batch (gemini-2.5-flash)
40,reaction,,one-shot batch (gemini-2.5-flash)
41,skip,,one-shot batch (gemini-2.5-flash)
42,skip,,one-shot batch (gemini-2.5-flash)
43,skip,,one-shot batch (gemini-2.5-flash)
44,skip,,one-shot batch (gemini-2.5-flash)
45,reaction,,one-shot batch (gemini-2.5-flash)
46,skip,,one-shot batch (gemini-2.5-flash)
47,skip,,one-shot batch (gemini-2.5-flash)
48,hot_take,,one-shot batch (gemini-2.5-flash)
49,mixed,,one-shot batch (gemini-2.5-flash)
50,skip,,one-shot batch (gemini-2.5-flash)
51,hot_take,,one-shot batch (gemini-2.5-flash)
52,mixed,,one-shot batch (gemini-2.5-flash)
53,reaction,,one-shot batch (gemini-2.5-flash)
54,analysis,,one-shot batch (gemini-2.5-flash)
55,mixed,,one-shot batch (gemini-2.5-flash)
56,skip,,one-shot batch (gemini-2.5-flash)
57,hot_take,,one-shot batch (gemini-2.5-flash)
58,skip,,one-shot batch (gemini-2.5-flash)
59,skip,,one-shot batch (gemini-2.5-flash)
60,reaction,,one-shot batch (gemini-2.5-flash)
61,skip,,one-shot batch (gemini-2.5-flash)
62,skip,,one-shot batch (gemini-2.5-flash)
63,mixed,,one-shot batch (gemini-2.5-flash)
64,analysis,,one-shot batch (gemini-2.5-flash)
65,reaction,,one-shot batch (gemini-2.5-flash)
66,hot_take,,one-shot batch (gemini-2.5-flash)
67,skip,,one-shot batch (gemini-2.5-flash)
68,hot_take,,one-shot batch (gemini-2.5-flash)
69,mixed,,one-shot batch (gemini-2.5-flash)
70,mixed,,one-shot batch (gemini-2.5-flash)
71,skip,,one-shot batch (gemini-2.5-flash)
72,reaction,,one-shot batch (gemini-2.5-flash)
73,skip,,one-shot batch (gemini-2.5-flash)
74,skip,,one-shot batch (gemini-2.5-flash)
75,hot_take,,one-shot batch (gemini-2.5-flash)
76,skip,,one-shot batch (gemini-2.5-flash)
77,skip,,one-shot batch (gemini-2.5-flash)
78,reaction,,one-shot batch (gemini-2.5-flash)
79,hot_take,,one-shot batch (gemini-2.5-flash)
80,skip,,one-shot batch (gemini-2.5-flash)
81,skip,,one-shot batch (gemini-2.5-flash)
82,mixed,,one-shot batch (gemini-2.5-flash)
83,skip,,one-shot batch (gemini-2.5-flash)
84,skip,,one-shot batch (gemini-2.5-flash)
85,skip,,one-shot batch (gemini-2.5-flash)
86,reaction,,one-shot batch (gemini-2.5-flash)
87,reaction,,one-shot batch (gemini-2.5-flash)
88,skip,,one-shot batch (gemini-2.5-flash)
89,hot_take,,one-shot batch (gemini-2.5-flash)
90,skip,,one-shot batch (gemini-2.5-flash)
91,skip,,one-shot batch (gemini-2.5-flash)
92,skip,,one-shot batch (gemini-2.5-flash)
93,analysis,,one-shot batch (gemini-2.5-flash)
94,hot_take,,one-shot batch (gemini-2.5-flash)
95,skip,,one-shot batch (gemini-2.5-flash)
96,hot_take,,one-shot batch (gemini-2.5-flash)
97,mixed,,one-shot batch (gemini-2.5-flash)
98,skip,,one-shot batch (gemini-2.5-flash)
99,hot_take,,one-shot batch (gemini-2.5-flash)
100,hot_take,,one-shot batch (gemini-2.5-flash)
101,skip,,one-shot batch (gemini-2.5-flash)
102,skip,,one-shot batch (gemini-2.5-flash)
103,skip,,one-shot batch (gemini-2.5-flash)
104,skip,,one-shot batch (gemini-2.5-flash)
105,skip,,one-shot batch (gemini-2.5-flash)
106,skip,,one-shot batch (gemini-2.5-flash)
107,skip,,one-shot batch (gemini-2.5-flash)
108,hot_take,,one-shot batch (gemini-2.5-flash)
109,hot_take,,one-shot batch (gemini-2.5-flash)
110,skip,,one-shot batch (gemini-2.5-flash)
111,reaction,,one-shot batch (gemini-2.5-flash)
112,hot_take,,one-shot batch (gemini-2.5-flash)
113,mixed,,one-shot batch (gemini-2.5-flash)
114,skip,,one-shot batch (gemini-2.5-flash)
115,hot_take,,one-shot batch (gemini-2.5-flash)
116,skip,,one-shot batch (gemini-2.5-flash)
117,analysis,,one-shot batch (gemini-2.5-flash)
118,hot_take,,one-shot batch (gemini-2.5-flash)
119,mixed,,one-shot batch (gemini-2.5-flash)
120,analysis,,one-shot batch (gemini-2.5-flash)
121,skip,,one-shot batch (gemini-2.5-flash)
122,mixed,,one-shot batch (gemini-2.5-flash)
123,skip,,one-shot batch (gemini-2.5-flash)
124,analysis,,one-shot batch (gemini-2.5-flash)
125,hot_take,,one-shot batch (gemini-2.5-flash)
126,hot_take,,one-shot batch (gemini-2.5-flash)
127,analysis,,one-shot batch (gemini-2.5-flash)
128,reaction,,one-shot batch (gemini-2.5-flash)
129,analysis,,one-shot batch (gemini-2.5-flash)
130,analysis,,one-shot batch (gemini-2.5-flash)
131,skip,,one-shot batch (gemini-2.5-flash)
132,analysis,,one-shot batch (gemini-2.5-flash)
133,hot_take,,one-shot batch (gemini-2.5-flash)
134,reaction,,one-shot batch (gemini-2.5-flash)
135,skip,,one-shot batch (gemini-2.5-flash)
136,skip,,one-shot batch (gemini-2.5-flash)
137,reaction,,one-shot batch (gemini-2.5-flash)
138,analysis,,one-shot batch (gemini-2.5-flash)
139,reaction,,one-shot batch (gemini-2.5-flash)
140,skip,,one-shot batch (gemini-2.5-flash)
141,skip,,one-shot batch (gemini-2.5-flash)
142,skip,,one-shot batch (gemini-2.5-flash)
143,skip,,one-shot batch (gemini-2.5-flash)
144,mixed,,one-shot batch (gemini-2.5-flash)
145,skip,,one-shot batch (gemini-2.5-flash)
146,analysis,,one-shot batch (gemini-2.5-flash)
147,skip,,one-shot batch (gemini-2.5-flash)
148,skip,,one-shot batch (gemini-2.5-flash)
149,skip,,one-shot batch (gemini-2.5-flash)
150,skip,,one-shot batch (gemini-2.5-flash)
151,hot_take,,one-shot batch (gemini-2.5-flash)
152,analysis,,one-shot batch (gemini-2.5-flash)
153,hot_take,,one-shot batch (gemini-2.5-flash)
154,skip,,one-shot batch (gemini-2.5-flash)
155,analysis,,one-shot batch (gemini-2.5-flash)
156,hot_take,,one-shot batch (gemini-2.5-flash)
157,skip,,one-shot batch (gemini-2.5-flash)
158,skip,,one-shot batch (gemini-2.5-flash)
159,hot_take,,one-shot batch (gemini-2.5-flash)
160,analysis,,one-shot batch (gemini-2.5-flash)
161,skip,,one-shot batch (gemini-2.5-flash)
162,skip,,one-shot batch (gemini-2.5-flash)
163,hot_take,,one-shot batch (gemini-2.5-flash)
164,skip,,one-shot batch (gemini-2.5-flash)
165,analysis,,one-shot batch (gemini-2.5-flash)
166,analysis,,one-shot batch (gemini-2.5-flash)
167,skip,,one-shot batch (gemini-2.5-flash)
168,skip,,one-shot batch (gemini-2.5-flash)
