id,label,confidence,rationale
1,skip,,one-shot batch (DeepSeek-V3.1)
2,reaction,,one-shot batch (DeepSeek-V3.1)
3,analysis,,one-shot batch (DeepSeek-V3.1)
4,skip,,one-shot batch (DeepSeek-V3.1)
5,analysis,,one-shot batch (DeepSeek-V3.1)
6,skip,,one-shot batch (DeepSeek-V3.1)
7,analysis,,one-shot batch (DeepSeek-V3.1)
8,skip,,one-shot batch (DeepSeek-V3.1)
9,skip,,one-shot batch (DeepSeek-V3.1)
10,skip,,one-shot batch (DeepSeek-V3.1)
11,mixed,,one-shot batch (DeepSeek-V3.1)
12,analysis,,one-shot batch (DeepSeek-V3.1)
13,hot_take,,one-shot batch (DeepSeek-V3.1)
14,reaction,,one-shot batch (DeepSeek-V3.1)
15,skip,,one-shot batch (DeepSeek-V3.1)
16,reaction,,one-shot batch (DeepSeek-V3.1)
17,mixed,,one-shot batch (DeepSeek-V3.1)
18,hot_take,,one-shot batch (DeepSeek-V3.1)
19,skip,,one-shot batch (DeepSeek-V3.1)
20,mixed,,one-shot batch (DeepSeek-V3.1)
21,skip,,one-shot batch (DeepSeek-V3.1)
22,skip,,one-shot batch (DeepSeek-V3.1)
23,reaction,,one-shot batch (DeepSeek-V3.1)
24,skip,,one-shot batch (DeepSeek-V3.1)
25,hot_take,,one-shot batch (DeepSeek-V3.1)
26,mixed,,one-shot batch (DeepSeek-V3.1)
27,mixed,,one-shot batch (DeepSeek-V3.1)
28,skip,,one-shot batch (DeepSeek-V3.1)
29,skip,,one-shot batch (DeepSeek-V3.1)
30,mixed,,one-shot batch (DeepSeek-V3.1)
31,reaction,,one-shot batch (DeepSeek-V3.1)
32,skip,,one-shot batch (DeepSeek-V3.1)
33,analysis,,one-shot batch (DeepSeek-V3.1)
34,skip,,one-shot batch (DeepSeek-V3.1)
35,mixed,,one-shot batch (DeepSeek-V3.1)
36,hot_take,,one-shot batch (DeepSeek-V3.1)
37,skip,,one-shot batch (DeepSeek-V3.1)
38,reaction,,one-shot batch (DeepSeek-V3.1)
39,skip,,one-shot batch (DeepSeek-V3.1)
40,reaction,,one-shot batch (DeepSeek-V3.1)
41,skip,,one-shot batch (DeepSeek-V3.1)
42,skip,,one-shot batch (DeepSeek-V3.1)
43,skip,,one-shot batch (DeepSeek-V3.1)
44,skip,,one-shot batch (DeepSeek-V3.1)
45,reaction,,one-shot batch (DeepSeek-V3.1)
46,skip,,one-shot batch (DeepSeek-V3.1)
47,skip,,one-shot batch (DeepSeek-V3.1)
48,skip,,one-shot batch (DeepSeek-V3.1)
49,mixed,,one-shot batch (DeepSeek-V3.1)
50,skip,,one-shot batch (DeepSeek-V3.1)
51,hot_take,,one-shot batch (DeepSeek-V3.1)
52,mixed,,one-shot batch (DeepSeek-V3.1)
53,reaction,,one-shot batch (DeepSeek-V3.1)
54,analysis,,one-shot batch (DeepSeek-V3.1)
55,mixed,,one-shot batch (DeepSeek-V3.1)
56,skip,,one-shot batch (DeepSeek-V3.1)
57,reaction,,one-shot batch (DeepSeek-V3.1)
58,skip,,one-shot batch (DeepSeek-V3.1)
59,skip,,one-shot batch (DeepSeek-V3.1)
60,reaction,,one-shot batch (DeepSeek-V3.1)
61,skip,,one-shot batch (DeepSeek-V3.1)
62,skip,,one-shot batch (DeepSeek-V3.1)
63,mixed,,one-shot batch (DeepSeek-V3.1)
64,analysis,,one-shot batch (DeepSeek-V3.1)
65,reaction,,one-shot batch (DeepSeek-V3.1)
66,hot_take,,one-shot batch (DeepSeek-V3.1)
67,skip,,one-shot batch (DeepSeek-V3.1)
68,hot_take,,one-shot batch (DeepSeek-V3.1)
69,hot_take,,one-shot batch (DeepSeek-V3.1)
70,mixed,,one-shot batch (DeepSeek-V3.1)
71,skip,,one-shot batch (DeepSeek-V3.1)
72,reaction,,one-shot batch (DeepSeek-V3.1)
73,skip,,one-shot batch (DeepSeek-V3.1)
74,skip,,one-shot batch (DeepSeek-V3.1)
75,hot_take,,one-shot batch (DeepSeek-V3.1)
76,skip,,one-shot batch (DeepSeek-V3.1)
77,skip,,one-shot batch (DeepSeek-V3.1)
78,reaction,,one-shot batch (DeepSeek-V3.1)
79,hot_take,,one-shot batch (DeepSeek-V3.1)
80,skip,,one-shot batch (DeepSeek-V3.1)
81,skip,,one-shot batch (DeepSeek-V3.1)
82,mixed,,one-shot batch (DeepSeek-V3.1)
83,skip,,one-shot batch (DeepSeek-V3.1)
84,skip,,one-shot batch (DeepSeek-V3.1)
85,skip,,one-shot batch (DeepSeek-V3.1)
86,reaction,,one-shot batch (DeepSeek-V3.1)
87,reaction,,one-shot batch (DeepSeek-V3.1)
88,skip,,one-shot batch (DeepSeek-V3.1)
89,hot_take,,one-shot batch (DeepSeek-V3.1)
90,skip,,one-shot batch (DeepSeek-V3.1)
91,skip,,one-shot batch (DeepSeek-V3.1)
92,skip,,one-shot batch (DeepSeek-V3.1)
