id,label,confidence,rationale
1,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
2,reaction,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
3,analysis,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
4,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
5,analysis,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
6,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
7,analysis,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
8,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
9,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
10,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
11,mixed,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
12,analysis,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
13,hot_take,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
14,reaction,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
15,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
16,reaction,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
17,mixed,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
18,hot_take,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
19,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
20,mixed,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
21,analysis,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
22,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
23,reaction,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
24,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
25,hot_take,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
26,mixed,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
27,mixed,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
28,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
29,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
30,mixed,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
31,hot_take,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
32,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
33,analysis,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
34,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
35,mixed,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
36,hot_take,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
37,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
38,reaction,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
39,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
40,reaction,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
41,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
42,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
43,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
44,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
45,reaction,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
46,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
47,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
48,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
49,mixed,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
50,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
51,hot_take,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
52,mixed,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
53,reaction,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
54,analysis,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
55,mixed,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
56,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
57,hot_take,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
58,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
59,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
60,reaction,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
61,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
62,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
63,mixed,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
64,analysis,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
65,reaction,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
66,hot_take,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
67,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
68,hot_take,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
69,hot_take,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
70,mixed,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
71,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
72,reaction,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
73,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
74,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
75,hot_take,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
76,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
77,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
78,reaction,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
79,hot_take,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
80,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
81,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
82,mixed,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
83,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
84,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
85,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
86,reaction,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
87,reaction,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
88,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
89,hot_take,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
90,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
91,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
92,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
93,analysis,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
94,hot_take,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
95,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
96,hot_take,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
97,hot_take,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
98,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
99,hot_take,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
100,hot_take,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
101,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
102,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
103,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
104,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
105,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
106,skip,,one-shot batch (Meta-Llama-3.3-70B-Instruct)
